"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
"56.494","2019-11-25T11:17:54.584Z","23.0580115","72.4770102","51.20404306842385","2.087","2.27","3","130"
"112.80776470588235","2019-11-25T11:17:54.726Z","23.0580105","72.4770103","51.16804306842385","1.943","2.09","3","130"
"169.1215294117647","2019-11-25T11:17:54.868Z","23.0580095","72.4770104","51.15704306842385","1.972","1.94","3","130"
"225.43529411764706","2019-11-25T11:17:55.011Z","23.0580085","72.4770106","51.18104306842385","1.988","1.97","3","130"
"281.7490588235294","2019-11-25T11:17:55.153Z","23.0580075","72.4770107","51.18704306842385","2.003","1.99","3","130"
"338.0628235294118","2019-11-25T11:17:55.295Z","23.0580064","72.4770107","51.14804306842385","2.016","2","3","130"
"394.37658823529415","2019-11-25T11:17:55.438Z","23.0580052","72.4770107","51.111043068423854","2.013","2.02","3","130"
"450.6903529411765","2019-11-25T11:17:55.580Z","23.0580041","72.4770107","51.08704306842385","2.046","2.01","3","130"
"507.0041176470589","2019-11-25T11:17:55.722Z","23.0580031","72.4770108","51.06504306842385","2.001","2.05","3","130"
"563.3178823529412","2019-11-25T11:17:55.865Z","23.0580021","72.4770109","51.07104306842385","2.034","2","3","130"
"619.6316470588235","2019-11-25T11:17:56.007Z","23.058001","72.4770112","51.09304306842385","2.111","2.03","3","130"
"675.9454117647059","2019-11-25T11:17:56.149Z","23.0579999","72.4770114","51.108043068423854","2.139","2.11","3","130"
"732.2591764705883","2019-11-25T11:17:56.292Z","23.057999","72.4770113","51.123043068423854","2.097","2.14","3","130"
"788.5729411764706","2019-11-25T11:17:56.434Z","23.0579979","72.4770113","51.11504306842385","2.053","2.1","3","130"
"844.886705882353","2019-11-25T11:17:56.576Z","23.0579967","72.4770114","51.09504306842385","2.087","2.06","3","130"
"901.2004705882354","2019-11-25T11:17:56.719Z","23.0579956","72.4770114","51.06104306842385","2.095","2.09","3","130"
"957.5142352941177","2019-11-25T11:17:56.861Z","23.0579943","72.4770116","51.04904306842385","2.154","2.1","3","130"
"1013.828","2019-11-25T11:17:57.004Z","23.0579932","72.4770118","51.01804306842385","2.14","2.15","3","112"
"1068.6284444444445","2019-11-25T11:17:57.059Z","23.0579921","72.477012","51.00604306842385","2.081","2.14","3","112"
"1123.428888888889","2019-11-25T11:17:57.114Z","23.057991","72.4770121","51.00504306842385","2.138","2.08","3","112"
"1178.2293333333337","2019-11-25T11:17:57.169Z","23.0579899","72.4770122","50.99104306842385","2.155","2.14","3","112"
"1233.0297777777782","2019-11-25T11:17:57.224Z","23.0579888","72.4770119","50.995043068423854","2.192","2.15","3","112"
"1287.8302222222228","2019-11-25T11:17:57.279Z","23.0579875","72.4770121","50.99404306842385","2.312","2.19","3","112"
"1342.6306666666674","2019-11-25T11:17:57.334Z","23.0579863","72.477012","50.97504306842385","2.296","2.31","3","112"
"1397.431111111112","2019-11-25T11:17:57.389Z","23.0579852","72.4770119","50.97504306842385","2.263","2.3","3","112"
"1452.2315555555565","2019-11-25T11:17:57.444Z","23.0579841","72.4770119","50.96904306842385","2.191","2.26","3","112"
"1507.032000000001","2019-11-25T11:17:57.499Z","23.057983","72.477012","50.95804306842385","2.154","2.19","3","112"
"1561.8324444444456","2019-11-25T11:17:57.554Z","23.0579819","72.4770121","50.95804306842385","2.164","2.15","3","112"
"1616.6328888888902","2019-11-25T11:17:57.609Z","23.0579807","72.4770123","50.95704306842385","2.246","2.16","3","112"
"1671.4333333333348","2019-11-25T11:17:57.664Z","23.0579796","72.4770124","50.97204306842385","2.301","2.25","3","112"
"1726.2337777777793","2019-11-25T11:17:57.719Z","23.0579785","72.4770126","50.98004306842385","2.298","2.3","3","112"
"1781.034222222224","2019-11-25T11:17:57.774Z","23.0579773","72.4770128","50.97104306842385","2.307","2.3","3","112"
"1835.8346666666685","2019-11-25T11:17:57.829Z","23.0579765","72.4770129","50.96404306842385","2.182","2.31","3","112"
"1890.635111111113","2019-11-25T11:17:57.884Z","23.0579754","72.4770129","50.97004306842385","2.176","2.18","3","112"
"1945.4355555555576","2019-11-25T11:17:57.939Z","23.0579744","72.4770134","50.96804306842385","2.174","2.18","3","112"
"2000.236","2019-11-25T11:17:57.994Z","23.057973","72.4770137","50.95704306842385","2.328","2.17","3","112"
"2054.1645789473687","2019-11-25T11:17:58.046Z","23.0579718","72.477014","50.95604306842385","2.381","2.33","3","112"
"2108.093157894737","2019-11-25T11:17:58.098Z","23.0579707","72.477014","50.96104306842385","2.349","2.38","3","112"
"2162.0217368421054","2019-11-25T11:17:58.150Z","23.0579697","72.4770139","50.96104306842385","2.295","2.35","3","112"
"2215.9503157894737","2019-11-25T11:17:58.202Z","23.0579683","72.4770136","50.95204306842385","2.398","2.29","3","112"
"2269.878894736842","2019-11-25T11:17:58.254Z","23.0579673","72.4770137","50.96104306842385","2.363","2.4","3","112"
"2323.8074736842104","2019-11-25T11:17:58.306Z","23.0579662","72.4770138","50.93704306842385","2.294","2.36","3","112"
"2377.736052631579","2019-11-25T11:17:58.358Z","23.0579652","72.4770143","50.95704306842385","2.272","2.29","3","112"
"2431.664631578947","2019-11-25T11:17:58.410Z","23.057964","72.4770145","50.93904306842385","2.286","2.27","3","112"
"2485.5932105263155","2019-11-25T11:17:58.462Z","23.0579628","72.4770145","50.90204306842385","2.284","2.29","3","112"
"2539.521789473684","2019-11-25T11:17:58.515Z","23.0579617","72.4770143","50.92304306842385","2.296","2.28","3","112"
"2593.450368421052","2019-11-25T11:17:58.567Z","23.0579606","72.4770143","50.922043068423854","2.327","2.3","3","112"
"2647.3789473684205","2019-11-25T11:17:58.619Z","23.0579595","72.4770145","50.90704306842385","2.279","2.33","3","112"
"2701.307526315789","2019-11-25T11:17:58.671Z","23.0579583","72.4770147","50.89204306842385","2.303","2.28","3","112"
"2755.2361052631572","2019-11-25T11:17:58.723Z","23.0579571","72.4770148","50.89304306842385","2.324","2.3","3","112"
"2809.1646842105256","2019-11-25T11:17:58.775Z","23.0579561","72.4770148","50.89004306842385","2.291","2.32","3","112"
"2863.093263157894","2019-11-25T11:17:58.827Z","23.057955","72.4770149","50.87704306842385","2.245","2.29","3","112"
"2917.0218421052623","2019-11-25T11:17:58.879Z","23.057954","72.4770151","50.882043068423854","2.218","2.25","3","112"
"2970.9504210526306","2019-11-25T11:17:58.931Z","23.057953","72.4770152","50.89404306842385","2.219","2.22","3","112"
"3024.879","2019-11-25T11:17:58.984Z","23.0579519","72.4770152","50.90004306842385","2.248","2.22","3","108"
"3080.5885","2019-11-25T11:17:59.042Z","23.057951","72.4770151","50.92804306842385","2.189","2.25","3","108"
"3136.298","2019-11-25T11:17:59.100Z","23.05795","72.4770152","50.93004306842385","2.195","2.19","3","108"
"3192.0074999999997","2019-11-25T11:17:59.158Z","23.0579491","72.4770152","50.95004306842385","2.136","2.2","3","108"
"3247.7169999999996","2019-11-25T11:17:59.216Z","23.0579482","72.4770154","50.95704306842385","2.09","2.14","3","108"
"3303.4264999999996","2019-11-25T11:17:59.274Z","23.0579471","72.4770154","50.96804306842385","2.126","2.09","3","108"
"3359.1359999999995","2019-11-25T11:17:59.332Z","23.0579464","72.4770154","51.00004306842385","2.058","2.13","3","108"
"3414.8454999999994","2019-11-25T11:17:59.390Z","23.0579453","72.4770156","50.96204306842385","2.052","2.06","3","108"
"3470.5549999999994","2019-11-25T11:17:59.448Z","23.0579442","72.4770156","50.96204306842385","2.084","2.05","3","108"
"3526.2644999999993","2019-11-25T11:17:59.506Z","23.0579433","72.4770154","50.98504306842385","2.1","2.08","3","108"
"3581.9739999999993","2019-11-25T11:17:59.564Z","23.0579425","72.4770153","50.99704306842385","2.029","2.1","3","108"
"3637.683499999999","2019-11-25T11:17:59.622Z","23.0579415","72.4770156","50.989043068423854","1.985","2.03","3","108"
"3693.392999999999","2019-11-25T11:17:59.680Z","23.0579405","72.4770157","51.001043068423854","2.007","1.98","3","108"
"3749.102499999999","2019-11-25T11:17:59.738Z","23.0579393","72.4770158","51.00904306842385","2.069","2.01","3","108"
"3804.811999999999","2019-11-25T11:17:59.796Z","23.0579381","72.477016","50.97104306842385","2.095","2.07","3","108"
"3860.521499999999","2019-11-25T11:17:59.854Z","23.0579371","72.477016","50.97004306842385","2.099","2.09","3","108"
"3916.230999999999","2019-11-25T11:17:59.912Z","23.057936","72.4770162","50.97504306842385","2.081","2.1","3","108"
"3971.940499999999","2019-11-25T11:17:59.970Z","23.0579353","72.4770164","51.03004306842385","1.997","2.08","3","108"
"4027.65","2019-11-25T11:18:00.029Z","23.0579342","72.4770166","51.01504306842385","2.026","2","3","108"
"4082.523388888889","2019-11-25T11:18:00.080Z","23.057933","72.4770169","50.97604306842385","2.011","2.03","3","108"
"4137.396777777778","2019-11-25T11:18:00.132Z","23.057932","72.4770172","51.00004306842385","2.021","2.01","3","108"
"4192.270166666667","2019-11-25T11:18:00.184Z","23.0579311","72.4770173","51.02604306842385","2.003","2.02","3","108"
"4247.143555555556","2019-11-25T11:18:00.236Z","23.0579303","72.4770174","51.02604306842385","1.962","2","3","108"
"4302.0169444444455","2019-11-25T11:18:00.288Z","23.0579292","72.4770177","51.03204306842385","1.988","1.96","3","108"
"4356.890333333335","2019-11-25T11:18:00.340Z","23.0579282","72.4770178","51.01604306842385","2.005","1.99","3","108"
"4411.763722222224","2019-11-25T11:18:00.392Z","23.0579272","72.4770179","51.06204306842385","2.038","2.01","3","108"
"4466.637111111113","2019-11-25T11:18:00.444Z","23.0579265","72.4770179","51.135043068423855","1.998","2.04","3","108"
"4521.510500000002","2019-11-25T11:18:00.496Z","23.0579252","72.4770183","51.09404306842385","2.025","2","3","108"
"4576.383888888891","2019-11-25T11:18:00.548Z","23.0579239","72.4770186","51.05504306842385","2.067","2.03","3","108"
"4631.2572777777805","2019-11-25T11:18:00.600Z","23.0579231","72.4770186","51.06004306842385","2.018","2.07","3","108"
"4686.13066666667","2019-11-25T11:18:00.652Z","23.0579219","72.4770187","51.06004306842385","2.082","2.02","3","108"
"4741.004055555559","2019-11-25T11:18:00.704Z","23.0579208","72.477019","51.06904306842385","2.079","2.08","3","108"
"4795.877444444448","2019-11-25T11:18:00.756Z","23.0579199","72.4770191","51.10404306842385","2.072","2.08","3","108"
"4850.750833333337","2019-11-25T11:18:00.808Z","23.0579189","72.4770193","51.117043068423854","2.06","2.07","3","108"
"4905.624222222226","2019-11-25T11:18:00.860Z","23.0579179","72.4770194","51.10604306842385","2.047","2.06","3","108"
"4960.4976111111155","2019-11-25T11:18:00.912Z","23.0579171","72.4770195","51.11604306842385","1.998","2.05","3","108"
"5015.371","2019-11-25T11:18:00.964Z","23.057916","72.4770196","51.117043068423854","2.024","2","3","108"
"5070.479833333334","2019-11-25T11:18:01.022Z","23.0579153","72.4770197","51.15604306842385","1.94","2.03","3","108"
"5125.588666666667","2019-11-25T11:18:01.080Z","23.0579145","72.4770195","51.123043068423854","1.85","1.94","3","108"
"5180.697500000001","2019-11-25T11:18:01.138Z","23.0579137","72.4770195","51.09704306842385","1.82","1.85","3","108"
"5235.806333333335","2019-11-25T11:18:01.196Z","23.0579127","72.4770195","51.08704306842385","1.828","1.82","3","108"
"5290.9151666666685","2019-11-25T11:18:01.254Z","23.0579116","72.4770198","51.11504306842385","1.905","1.83","3","108"
"5346.024000000002","2019-11-25T11:18:01.312Z","23.0579106","72.4770202","51.11204306842385","1.875","1.91","3","108"
"5401.132833333336","2019-11-25T11:18:01.370Z","23.05791","72.4770203","51.117043068423854","1.741","1.88","3","108"
"5456.2416666666695","2019-11-25T11:18:01.428Z","23.0579093","72.4770203","51.12704306842385","1.689","1.74","3","108"
"5511.350500000003","2019-11-25T11:18:01.486Z","23.0579081","72.4770205","51.129043068423854","1.809","1.69","3","108"
"5566.459333333337","2019-11-25T11:18:01.544Z","23.0579068","72.4770209","51.14604306842385","1.971","1.81","3","108"
"5621.568166666671","2019-11-25T11:18:01.602Z","23.0579054","72.4770212","51.15704306842385","2.099","1.97","3","108"
"5676.677000000004","2019-11-25T11:18:01.660Z","23.057904","72.4770214","51.15104306842385","2.216","2.1","3","108"
"5731.785833333338","2019-11-25T11:18:01.718Z","23.0579027","72.4770216","51.15804306842385","2.276","2.22","3","108"
"5786.894666666672","2019-11-25T11:18:01.776Z","23.0579017","72.4770219","51.16504306842385","2.229","2.28","3","108"
"5842.003500000005","2019-11-25T11:18:01.834Z","23.0579006","72.4770222","51.18304306842385","2.234","2.23","3","108"
"5897.112333333339","2019-11-25T11:18:01.892Z","23.0578994","72.4770223","51.18104306842385","2.251","2.24","3","108"
"5952.221166666673","2019-11-25T11:18:01.950Z","23.0578986","72.4770224","51.21104306842385","2.18","2.25","3","108"
"6007.33","2019-11-25T11:18:02.009Z","23.0578978","72.477022","51.23004306842385","2.104","2.18","3","108"
"6062.275894736842","2019-11-25T11:18:02.061Z","23.0578969","72.477022","51.23704306842385","2.069","2.11","3","108"
"6117.221789473684","2019-11-25T11:18:02.113Z","23.0578958","72.4770219","51.22004306842385","2.119","2.07","3","108"
"6172.167684210526","2019-11-25T11:18:02.165Z","23.0578943","72.4770224","51.22004306842385","2.201","2.12","3","108"
"6227.113578947368","2019-11-25T11:18:02.217Z","23.0578931","72.4770227","51.23404306842385","2.248","2.2","3","108"
"6282.05947368421","2019-11-25T11:18:02.269Z","23.0578922","72.4770229","51.27104306842385","2.208","2.25","3","108"
"6337.0053684210525","2019-11-25T11:18:02.321Z","23.0578912","72.4770228","51.27904306842385","2.18","2.21","3","108"
"6391.951263157895","2019-11-25T11:18:02.374Z","23.05789","72.4770228","51.248043068423854","2.17","2.18","3","108"
"6446.897157894737","2019-11-25T11:18:02.426Z","23.057889","72.4770231","51.25504306842385","2.152","2.17","3","108"
"6501.843052631579","2019-11-25T11:18:02.478Z","23.0578879","72.4770237","51.254043068423854","2.133","2.16","3","108"
"6556.788947368421","2019-11-25T11:18:02.530Z","23.0578864","72.4770244","51.26404306842385","2.283","2.14","3","108"
"6611.734842105263","2019-11-25T11:18:02.582Z","23.0578858","72.4770243","51.29304306842385","2.139","2.29","3","108"
"6666.680736842105","2019-11-25T11:18:02.634Z","23.0578848","72.4770241","51.29304306842385","2.096","2.14","3","108"
"6721.626631578947","2019-11-25T11:18:02.687Z","23.0578837","72.4770241","51.26604306842385","2.095","2.1","3","108"
"6776.572526315789","2019-11-25T11:18:02.739Z","23.0578829","72.4770242","51.28204306842385","2.029","2.1","3","108"
"6831.518421052631","2019-11-25T11:18:02.791Z","23.0578819","72.4770244","51.28104306842385","2.013","2.03","3","108"
"6886.464315789473","2019-11-25T11:18:02.843Z","23.0578811","72.4770244","51.29504306842385","1.963","2.02","3","108"
"6941.4102105263155","2019-11-25T11:18:02.895Z","23.0578803","72.4770242","51.33304306842385","1.961","1.97","3","108"
"6996.356105263158","2019-11-25T11:18:02.947Z","23.057879","72.4770245","51.35904306842385","2.059","1.97","3","108"
"7051.302","2019-11-25T11:18:03.000Z","23.0578777","72.4770246","51.36804306842385","2.125","2.06","3","111"
"7106.619117647058","2019-11-25T11:18:03.058Z","23.0578765","72.4770248","51.40004306842385","2.171","2.13","3","111"
"7161.936235294117","2019-11-25T11:18:03.116Z","23.0578756","72.4770247","51.44404306842385","2.146","2.18","3","111"
"7217.253352941176","2019-11-25T11:18:03.174Z","23.0578744","72.4770247","51.46304306842385","2.196","2.15","3","111"
"7272.5704705882345","2019-11-25T11:18:03.232Z","23.0578738","72.4770249","51.510043068423855","2.07","2.2","3","111"
"7327.887588235293","2019-11-25T11:18:03.290Z","23.0578729","72.4770249","51.51104306842385","2.026","2.08","3","111"
"7383.204705882352","2019-11-25T11:18:03.349Z","23.057872","72.4770253","51.52704306842385","1.991","2.03","3","111"
"7438.5218235294105","2019-11-25T11:18:03.407Z","23.0578713","72.4770258","51.56004306842385","1.917","2","3","111"
"7493.838941176469","2019-11-25T11:18:03.465Z","23.0578702","72.4770263","51.59204306842385","1.963","1.93","3","111"
"7549.156058823528","2019-11-25T11:18:03.523Z","23.0578691","72.4770269","51.61604306842385","2.035","1.97","3","111"
"7604.473176470587","2019-11-25T11:18:03.581Z","23.057868","72.4770271","51.66104306842385","2.06","2.05","3","111"
"7659.790294117645","2019-11-25T11:18:03.639Z","23.0578668","72.4770274","51.68104306842385","2.135","2.07","3","111"
"7715.107411764704","2019-11-25T11:18:03.698Z","23.0578659","72.4770273","51.67804306842385","2.109","2.15","3","111"
"7770.424529411763","2019-11-25T11:18:03.756Z","23.0578648","72.4770271","51.66304306842385","2.083","2.12","3","111"
"7825.741647058821","2019-11-25T11:18:03.814Z","23.0578637","72.4770273","51.65604306842385","2.091","2.09","3","111"
"7881.05876470588","2019-11-25T11:18:03.872Z","23.0578627","72.4770275","51.70204306842385","2.089","2.1","3","111"
"7936.375882352939","2019-11-25T11:18:03.930Z","23.0578614","72.4770277","51.76804306842385","2.192","2.1","3","111"
"7991.693","2019-11-25T11:18:03.989Z","23.0578597","72.477028","51.754043068423854","2.359","2.2","3","120"
"8046.42925","2019-11-25T11:18:04.041Z","23.0578585","72.477028","51.73504306842385","2.344","2.37","3","120"
"8101.1655","2019-11-25T11:18:04.093Z","23.0578574","72.4770281","51.74104306842385","2.331","2.35","3","120"
"8155.90175","2019-11-25T11:18:04.145Z","23.0578563","72.4770282","51.760043068423855","2.32","2.34","3","120"
"8210.638","2019-11-25T11:18:04.198Z","23.0578551","72.4770283","51.79104306842385","2.377","2.33","3","120"
"8265.37425","2019-11-25T11:18:04.250Z","23.0578539","72.4770287","51.80904306842385","2.379","2.39","3","120"
"8320.1105","2019-11-25T11:18:04.302Z","23.0578529","72.4770286","51.85304306842385","2.34","2.39","3","120"
"8374.84675","2019-11-25T11:18:04.354Z","23.0578517","72.4770284","51.83904306842385","2.348","2.35","3","120"
